username,time,tweet
MrP_tchr,Tue Jan 12 07:16:05 IST 2016,"@Mcoaty Doesn't belong. Numbers only. Writing belongs in writing class. That's why it's called ""writing class"". #sarcastic #msmathchat"
MrP_tchr,Tue Jan 12 07:10:06 IST 2016,@Mcoaty Oh yes! I'm not gonna forget! #Imaystillforget #msmathchat
MrP_tchr,Tue Jan 12 07:09:09 IST 2016,"And if you live in district 12, head for the capital. https://t.co/rfRZ48idbE"
MrP_tchr,Tue Jan 12 07:08:14 IST 2016,@MrPowersCMS I thought @NFL_MNF was over
MrP_tchr,Tue Jan 12 07:07:06 IST 2016,@yourkidsteacher I'm not watching. @biggestlosernbc is on soon. I'll be watching that and seeing @MyTrainerBob tweets.
MrP_tchr,Tue Jan 12 07:04:58 IST 2016,"When will this not be a ""thing"" anymore?  https://t.co/5S1Wc925vB"
MrP_tchr,Tue Jan 12 06:56:27 IST 2016,"@teach1tech All is well and I guess I should say warm, even though it isn't. Better than you though!"
MrP_tchr,Tue Jan 12 06:54:22 IST 2016,"Wow, can you believe that just happened? #pretendingtowatchthenationalchampionshipgame"
MrP_tchr,Tue Jan 12 05:10:51 IST 2016,"@yourkidsteacher @amandacdykes I like water, but I don't want the tide taking me out."
MrP_tchr,Mon Jan 11 11:38:58 IST 2016,"My fitbit #Fitstats_en_US for 1/10/2016: 4,821 steps and 2.3 miles traveled. https://t.co/ll5CRBVEoL"
MrP_tchr,Mon Jan 11 07:13:21 IST 2016,RT @Alex_Corbitt: How to cite social media sources 💻📱 (via @TeachThought) #edchat #satchat #elearning #engchat #aussieED https://t.co/9L6HJ…
MrP_tchr,Mon Jan 11 07:11:33 IST 2016,@NicholasFerroni I can say it isn't her fault. She is still dealing with the previous superintendents decisions and our legislative choices
MrP_tchr,Mon Jan 11 06:04:10 IST 2016,@MrsVandeborne @DrChrisLongo @loriannegreen Maybe I should be a part of this group. I need to stop being lazy and making excuses.
MrP_tchr,Mon Jan 11 06:03:29 IST 2016,"RT @delta_dc: Do I want kids to know 8x7=56?
Sure. I also want them to know that 8x7=7x7+7."
MrP_tchr,Mon Jan 11 05:30:14 IST 2016,@KimberBlodgett I'm wearing pj pants and a hoodie. I also am under a blanket. #whatareyouwearing
MrP_tchr,Mon Jan 11 03:57:25 IST 2016,RT @_levi_: @BluntEducator @KimberBlodgett I don't think educators are the ones desperate for a new perspective. Good advice for a legislat…
MrP_tchr,Sun Jan 10 22:26:26 IST 2016,"@RPhillipsMath The stipend helps you the first year you teach, but the rest when you only make 33K won't keep you there."
